autor	comentario	likes	date	PUBLICACION_CLEAN
Beatriz Perlado	Los nombras a todos ellos, y no te das cuenta lo que tu haces, desde que distes un paso al gobierno tu y tus lápices, se han dedicado a a repartirse el dinero de los peruanos.	1	2022-05-31T16:49:24Z	Los nombras a todos ellos, y no te das cuenta lo que tu haces, desde que distes un paso al gobierno tu y tus lápices, se han dedicado a a repartirse el dinero de los peruanos.
RUBEN DARIO AQUIZE PALACIOS	¡¡FANFARRÓNASO!! Orador de plazuela, no lo soporto.	2	2022-05-31T16:46:22Z	¡¡FANFARRÓNASO!! Orador de plazuela, no lo soporto.
Percy Bennell	Dios por favor ..... Recogelo o que lea un libro , que lo más seguro es que le dé derrame cerebral.	0	2022-05-31T16:43:23Z	Dios por favor ..... Recogelo o que lea un libro , que lo más seguro es que le dé derrame cerebral.
Pilar Challapa	Pero no cuando eran presidentes	0	2022-05-31T16:42:22Z	Pero no cuando eran presidentes
el gallo claudio Foghorn Leghorn	ROSA MARIA QUIZO DECIR &quot; cantinfladas &quot;	1	2022-05-31T16:39:05Z	ROSA MARIA QUIZO DECIR &quot; cantinfladas &quot;
Antonio Gainza Morgante	Rosa María, cuando entrevista a Cesar Landa?	0	2022-05-31T16:39:04Z	Rosa María, cuando entrevista a Cesar Landa?
H-D ca L-P	¿Comercial de UTP diciendo &quot;latinoamerica&quot;?<br>Solo regiones antiguamente &quot;hace siglos&quot;  conquistadas por el Imperio Romano, hoy llegarian a ser latinos...<br>America del norte, centroamerica y suramerica  .... nunca ha sido conquistada por el imperio romano , y tampoco se hablo alguna ves &quot;latin&quot;....<br>Somos hispanoamericano ó Iberoamericanos ....	1	2022-05-31T20:32:10Z	¿Comercial de UTP diciendo &quot;latinoamerica&quot;? Solo regiones antiguamente &quot;hace siglos&quot; conquistadas por el Imperio Romano, hoy llegarian a ser latinos... America del norte, centroamerica y suramerica .... nunca ha sido conquistada por el imperio romano , y tampoco se hablo alguna ves &quot;latin&quot;.... Somos hispanoamericano ó Iberoamericanos ....
Nélida Rosa De la Piedra Urpeque	Ya,ha robado para Usted,esperamos, la confirmación, información de adelantos en la ciencia,no solo de políticas sucias y corrupción.	0	2022-05-31T20:24:25Z	Ya,ha robado para Usted,esperamos, la confirmación, información de adelantos en la ciencia,no solo de políticas sucias y corrupción.
Jorge R	Y cada jinkana de ministros nos cuestra mas al pueblo solo para escuchar al viejito decrepito defender lo indefendible, al menos en el allanamiento hay esperanza de recuperar lo sustraido, pero en lo otro? es plata perdida y encima exige que la fiscalia acelere en demostrar las acusaciones, pero ellos no colaboran y obstruyen las investigaciones, sera que alguien cree en lo que proclaman estos señores? sirve de algo estas jinkanas para defender a Castillo? porque se gastan mi plata en un delincuente y me dicen vago y pasare hambruna? este es un &quot;gobierno del pueblo&quot;? de que pueblo, de Chota?	0	2022-05-31T20:22:06Z	Y cada jinkana de ministros nos cuestra mas al pueblo solo para escuchar al viejito decrepito defender lo indefendible, al menos en el allanamiento hay esperanza de recuperar lo sustraido, pero en lo otro? es plata perdida y encima exige que la fiscalia acelere en demostrar las acusaciones, pero ellos no colaboran y obstruyen las investigaciones, sera que alguien cree en lo que proclaman estos señores? sirve de algo estas jinkanas para defender a Castillo? porque se gastan mi plata en un delincuente y me dicen vago y pasare hambruna? este es un &quot;gobierno del pueblo&quot;? de que pueblo, de Chota?
Rita Munoz de Weisshaupt	Al inicio de su gobierno dijo que estaban haciendo una chanchita  para una buena causa , ahora pretende decirnos que roban menos??? 😡😡	0	2022-05-31T20:11:29Z	Al inicio de su gobierno dijo que estaban haciendo una chanchita para una buena causa , ahora pretende decirnos que roban menos??? 😡😡
johnny escriba	VOTARON POR COMUNISTAS INCAPACES, MEDIOCRES E IGNORANTES PUES AHORA LES TOCA DISFRUTAR, ASI QUE DESFRUTEN DE TODO LO QUE LE PASA AL PAIS Y PRINCIPALMENTE A LA ECONOMIA QUE CADA DIA SE VIENE FUNDIENDO MAS  !!!!!	0	2022-05-31T20:08:11Z	VOTARON POR COMUNISTAS INCAPACES, MEDIOCRES E IGNORANTES PUES AHORA LES TOCA DISFRUTAR, ASI QUE DESFRUTEN DE TODO LO QUE LE PASA AL PAIS Y PRINCIPALMENTE A LA ECONOMIA QUE CADA DIA SE VIENE FUNDIENDO MAS !!!!!
maria miletich	Claro, &quot; ni un centavo&quot;.... no,....pero si sospechoso de dirigir el saqueo del erario nacional.	0	2022-05-31T19:52:40Z	Claro, &quot; ni un centavo&quot;.... no, si sospechoso de dirigir el saqueo del erario nacional.
Leticia Rojas	Solo se victimiza !!	0	2022-05-31T19:48:30Z	Solo se victimiza !!
Leticia Rojas	La familia está metida , donde están los sobrinisimos ?	0	2022-05-31T19:46:57Z	La familia está metida , donde están los sobrinisimos ?
Styro Synth	Que cólera este imb de presidente. Está totalmente cegado.	0	2022-05-31T19:46:05Z	Que cólera este imb de presidente. Está totalmente cegado.
Leticia Rojas	Los pecados de los otros no te te reivindican !!! Torpe !!!	0	2022-05-31T19:45:46Z	Los pecados de los otros no te te reivindican !!! Torpe !!!
Silvia Choque	A mí me parece que más asustados están los de la DBA .,fujiapristas y aliados eh?? E l presidente está nervioso , cualquiera no ,con tanto cargamonton que le están haciendo.	0	2022-05-31T19:31:53Z	A mí me parece que más asustados están los de la DBA .,fujiapristas y aliados eh?? E l presidente está nervioso , cualquiera no ,con tanto cargamonton que le están haciendo.
Oscar Manuel Tranca Mendoza	Dijo que iba bajarse el sueldo,, hasta ahorita nada...	0	2022-05-31T19:27:16Z	Dijo que iba bajarse el sueldo,, hasta ahorita nada...
Mifoto300	Me gustan los nombres de cada programa...sugiero buscar algún redactor creativo.  Podría ser:. Alucinante, el asustadizo Castillo dice que &quot;roban menos&quot;.	0	2022-05-31T19:26:38Z	Me gustan los nombres de cada programa...sugiero buscar algún redactor creativo. Podría ser:. Alucinante, el asustadizo Castillo dice que &quot;roban menos&quot;.
Jonathan Aymara	Si las personas leyeran la Constitución lo sacarian a patadas de sus consejo de ministros... puras mentiras y hue...as... habla castillo	0	2022-05-31T19:17:14Z	Si las personas leyeran la Constitución lo sacarian a patadas de sus consejo de ministros... puras mentiras y habla castillo
GODZILLA EL REY	los ministerios tambien cuestan  como 30 mil para el presidente	0	2022-05-31T19:14:00Z	los ministerios tambien cuestan como 30 mil para el presidente
Raymundo Chirinos	Pobres colombianos caracho. Bueno, como dice el dicho mal de muchos consuelo de tontos	0	2022-05-31T19:12:02Z	Pobres colombianos caracho. Bueno, como dice el dicho mal de muchos consuelo de tontos
Miguel Andrade Rengifo	Cuántas laptop podría comprar el Ministerio de Educación si dejarán de hacer estas ferias dizque &quot; consejos de ministros descentralizados?	2	2022-05-31T19:10:46Z	Cuántas laptop podría comprar el Ministerio de Educación si dejarán de hacer estas ferias dizque &quot; consejos de ministros descentralizados?
GODZILLA EL REY	dice que nunca a robado y responde  ... en la fiscalia solo responde  NO SE NO LO CONOSCO	0	2022-05-31T19:09:13Z	dice que nunca a robado y responde ... en la fiscalia solo responde NO SE NO LO CONOSCO
GODZILLA EL REY	200 años ese royo comunistas	0	2022-05-31T19:05:37Z	200 años ese royo comunistas
GODZILLA EL REY	castillo es el peor presidente en 200 años busca destruir la economia para imponer su ideologia comunista	0	2022-05-31T19:00:44Z	castillo es el peor presidente en 200 años busca destruir la economia para imponer su ideologia comunista
Blanca Mrisol Lacuta Albarrasin	castillo es cantinflas	0	2022-05-31T18:59:49Z	castillo es cantinflas
Rony Mora	Los resultados de Colombia<br>Parecen como un robo local<br>De los tiranos de Cuba<br>Casi la misma farsa<br>Que paso en el páis<br>Cuidado<br>SRS colombianos <br>Peor sabio es elegir el neocomunismo<br>Mucho cuidado<br>Son lo peor que el mismo estiércol...	0	2022-05-31T18:44:53Z	Los resultados de Colombia Parecen como un robo local De los tiranos de Cuba Casi la misma farsa Que paso en el páis Cuidado SRS colombianos Peor sabio es elegir el neocomunismo Mucho cuidado Son lo peor que el mismo estiércol...
elio	Castillo es bruto hasta para robar, cada que trata de negar el mismo se contradice con sus declaraciones y sus actos. NUEVAS ELECCIONES GENERALES.	0	2022-05-31T18:38:00Z	Castillo es bruto hasta para robar, cada que trata de negar el mismo se contradice con sus declaraciones y sus actos. NUEVAS ELECCIONES GENERALES.
Enrique Rodriguez	Denle salvoconducto, con tal SE large	0	2022-05-31T18:29:38Z	Denle salvoconducto, con tal SE large
Raul Solórzano Santiago	A éste &quot;periodista&quot; cuyas &quot;opiniones&quot; favorecen abiertamente a las mafias y corruptos que quieren vacar a Castillo, la gente ya no le sigue y menos le cree porque se evidencia que son opiniones compradas. <br>Mira aquí apenas tiene 68 comentarios, a lo que antes pasaba de 200 fácil.	1	2022-05-31T18:26:33Z	A éste &quot;periodista&quot; cuyas &quot;opiniones&quot; favorecen abiertamente a las mafias y corruptos que quieren vacar a Castillo, la gente ya no le sigue y menos le cree porque se evidencia que son opiniones compradas. Mira aquí apenas tiene 68 comentarios, a lo que antes pasaba de 200 fácil.
Sebas	Dónde están los COJUDIGNOS...???? dónde están aquellos que le daban beneficio de la duda, Castillo era un inepto y era evidente en la Campaña	1	2022-05-31T18:26:21Z	Dónde están los COJUDIGNOS...???? dónde están aquellos que le daban beneficio de la duda, Castillo era un inepto y era evidente en la Campaña
Dionee Giraldo	Castillo delincuente disfrazado de presidente	0	2022-05-31T18:19:00Z	Castillo delincuente disfrazado de presidente
Dionee Giraldo	Tu no eres político ,tú eres delincuenteeeeeee	0	2022-05-31T18:15:03Z	Tu no eres político ,tú eres delincuenteeeeeee
Dionee Giraldo	Castillo tu no vales nada eres un delincuente disfrazado de presidente	0	2022-05-31T18:14:36Z	Castillo tu no vales nada eres un delincuente disfrazado de presidente
Javier Vergara	Preocúpate por tu país deja de meterte en otro, ya la cagaste pidiendo no votar por Keiko	0	2022-05-31T18:10:17Z	Preocúpate por tu país deja de meterte en otro, ya la cagaste pidiendo no votar por Keiko
Clarens01	🤭😱	0	2022-05-31T18:08:38Z	🤭😱
Marco Sotomayor	Gastan tanta plata en viajar para hacer propaganda, lo que serviría para comprar unas laptop para los niños.... desperdician la plata y no gobiernan con gente incompetente de ministros	0	2022-05-31T18:03:39Z	Gastan tanta plata en viajar para hacer propaganda, lo que serviría para comprar unas laptop para los niños.... desperdician la plata y no gobiernan con gente incompetente de ministros
Aida Gómez	SAQUENLO	0	2022-05-31T17:57:42Z	SAQUENLO
Harold	Un Centavo No Maldit. Millones de Coimas si hjdpta	0	2022-05-31T17:56:35Z	Un Centavo No Maldit. Millones de Coimas si hjdpta
Victor Avila	Petro jamás	0	2022-05-31T17:52:31Z	Petro jamás
Freddy Delgado	Simplificado: Le dijo ocioso a los pobres.<br>Es decir nos moriremos todos de hambre. Porque el Perú ha empobrecido con este inútil e ignorante. <br>Este es el peor presidente del Perú en su historia.	6	2022-05-31T17:45:30Z	Simplificado: Le dijo ocioso a los pobres. Es decir nos moriremos todos de hambre. Porque el Perú ha empobrecido con este inútil e ignorante. Este es el peor presidente del Perú en su historia.
Felix Montes	La Fiscalia, cuando investiga a otros es honorable, pero cuando lo investigan a el, y toda sus funcionarios, que estan demandados, sentenciados, ex presidarios por estafa, es abusadora y es politica dirigida, por favor, el sombrero no es digno de ese cargo y es incapaz	0	2022-05-31T17:43:25Z	La Fiscalia, cuando investiga a otros es honorable, pero cuando lo investigan a el, y toda sus funcionarios, que estan demandados, sentenciados, ex presidarios por estafa, es abusadora y es politica dirigida, por favor, el sombrero no es digno de ese cargo y es incapaz
Lesly Britto	Lo respeta cuando le conviene	0	2022-05-31T17:39:58Z	Lo respeta cuando le conviene
EMEL  OCHOA	jaja si tamto lo quieres al señor castillo dale un veso ya sabes donde,  asi se te pasara ya sabemos que este señor castillo es un corrupto solo es cuestion de tiempo y se valla de la presidencia	0	2022-05-31T17:39:57Z	jaja si tamto lo quieres al señor castillo dale un veso ya sabes donde, asi se te pasara ya sabemos que este señor castillo es un corrupto solo es cuestion de tiempo y se valla de la presidencia
Norma Principe	Para creerle, primero uated bájase el sueldo y la de sus ministros.  Eso lo prometió hace tiempo y hasta ahora nada. por eso ya nadie le cree.<br>Quiere que le dejemos trabajar o que le dejemos desfalcando al estado.  <br>Pongase a disposición de la justicia entonces y demuestre su inocencia.<br>Cuesta mucho dinero tambien Sr. Castillo estar paseando con los ministros por todo el Perú.   Trabajen!	0	2022-05-31T17:38:55Z	Para creerle, primero uated bájase el sueldo y la de sus ministros. Eso lo prometió hace tiempo y hasta ahora nada. por eso ya nadie le cree. Quiere que le dejemos trabajar o que le dejemos desfalcando al estado. Pongase a disposición de la justicia entonces y demuestre su inocencia. Cuesta mucho dinero tambien Sr. Castillo estar paseando con los ministros por todo el Perú. Trabajen!
Cecilia Fuentes	se le ve estresado al Presidente, la cara le ha cambiado. Lamentable su terquedad. Si ha pasado por una universidad debería tener algún &quot;adiestramiento&quot;	0	2022-05-31T17:38:49Z	se le ve estresado al Presidente, la cara le ha cambiado. Lamentable su terquedad. Si ha pasado por una universidad debería tener algún &quot;adiestramiento&quot;
Raul Hernan Ortiz Sarabia	Exageras tu comentario	0	2022-05-31T17:33:44Z	Exageras tu comentario
Miguel	no hay mal que dure 100 años, ya va a caer este mafioso y la carcel lo espera de hecho	4	2022-05-31T17:33:39Z	no hay mal que dure 100 años, ya va a caer este mafioso y la carcel lo espera de hecho
Felix Armando Ávalos paniccia	Cómo puede ser pésimo como Alcalde cuando tiene el 40% de votos	0	2022-05-31T17:32:58Z	Cómo puede ser pésimo como Alcalde cuando tiene el 40% de votos
Rafael Luna Bernal	Con el candidato Hernández, en Latinoamérica se sumaría otro presidente demagogo, torpe, chapucero, improvisado, populista y de una completa y supina ignorancia en como gobernar un país. Lamentable.	0	2022-05-31T17:27:04Z	Con el candidato Hernández, en Latinoamérica se sumaría otro presidente demagogo, torpe, chapucero, improvisado, populista y de una completa y supina ignorancia en como gobernar un país. Lamentable.
Samuel Tesén Meléndez	Cada vez que este presidentucho habla, hace alarde solo de su ignorancia y falta de tino para poder articular oraciones con sentido. Lástima que sea docente, pésimo ejemplo.	2	2022-05-31T17:25:23Z	Cada vez que este presidentucho habla, hace alarde solo de su ignorancia y falta de tino para poder articular oraciones con sentido. Lástima que sea docente, pésimo ejemplo.
CANAL TELEAZUL	Ese Castillo más burro que esté no hay en el Perú.	2	2022-05-31T17:23:02Z	Ese Castillo más burro que esté no hay en el Perú.
Felix Zamudio	Castillo insulta a sus votantes pobres, porque dicen que los q pasan hambre son ociosos.	9	2022-05-31T17:14:29Z	Castillo insulta a sus votantes pobres, porque dicen que los q pasan hambre son ociosos.
ana rebeca valencia huamani	Ayyy no, escuchar a este tipo es un castigo, más bruto y descarado no hay. Corriente muy chusco.	3	2022-05-31T17:10:10Z	Ayyy no, escuchar a este tipo es un castigo, más bruto y descarado no hay. Corriente muy chusco.
Luz Eastman	No ha robado un centavo sino mas de un centavo, miles, sino millones ya. Ha y está robando las oportunidades de los ciudadanos de un país con un gran potential de crecimiento y progreso. No más Castillo. Tienen que sacarlos antes de 28 de Julio 2022!	3	2022-05-31T17:08:51Z	No ha robado un centavo sino mas de un centavo, miles, sino millones ya. Ha y está robando las oportunidades de los ciudadanos de un país con un gran potential de crecimiento y progreso. No más Castillo. Tienen que sacarlos antes de 28 de Julio 2022!
Un Dedo Medio	Se le viene la noche al burro	0	2022-05-31T17:08:00Z	Se le viene la noche al burro
Carlos Puertas	Habla piedras este hombre.	0	2022-05-31T17:07:31Z	Habla piedras este hombre.
Carlos Puertas	Habla piedras este hombre.	0	2022-05-31T17:07:22Z	Habla piedras este hombre.
Carlos Puertas	Habla piedras este hombre.	1	2022-05-31T17:07:10Z	Habla piedras este hombre.
Yumiko 2023	Pedro castillo esto va para ti el  honbre pobre i i robador de los pobres es como lluvia torrencial que deja sin pan a los pobres	0	2022-05-31T17:07:07Z	Pedro castillo esto va para ti el honbre pobre i i robador de los pobres es como lluvia torrencial que deja sin pan a los pobres
Yony Condori Condori	mucha  mediocridad desesperada	0	2022-05-31T17:02:44Z	mucha mediocridad desesperada
joe figueredo	PERUANOS TODAVIA HAY TIEMPO DE SALVAR AL PERU DE ESTA CUPULA CORRUPTA COMUNISTA EN EL PODER ESTE SUJETO EN EL PODER ES UN IGNORANTE QUE SOLO VA DESTRUIR EL PAIS??!!	0	2022-05-31T17:02:26Z	PERUANOS TODAVIA HAY TIEMPO DE SALVAR AL PERU DE ESTA CUPULA CORRUPTA COMUNISTA EN EL PODER ESTE SUJETO EN EL PODER ES UN IGNORANTE QUE SOLO VA DESTRUIR EL PAIS??!!
Fernando Trujillo	Esta visto a Castillo no le da la capacidad ni para expresarse.<br>Da cólera y pena.	5	2022-05-31T17:00:04Z	Esta visto a Castillo no le da la capacidad ni para expresarse. Da cólera y pena.
Lisset Tonder	Que vergüenza me da el ¿Señor Presidente?.	0	2022-05-31T16:58:54Z	Que vergüenza me da el ¿Señor Presidente?.
Kokiy Ku	latinoamerica está como está por su gente, una derecha bruta, abusiva y una izquierda desfasada e ignorante y en medio de ese problema está la gente pobre y con futuro incierto vulnerable al engaño .	0	2022-05-31T16:57:10Z	latinoamerica está como está por su gente, una derecha bruta, abusiva y una izquierda desfasada e ignorante y en medio de ese problema está la gente pobre y con futuro incierto vulnerable al engaño .
Miguel Llaca Conde	Rodrich, ese va a ser tus argumentos cuando te expectoren de la República por estar pagado por Acuña para direccionar opiniones???<br>Otro periodistas recibieron más dinero??	1	2022-05-31T16:56:24Z	Rodrich, ese va a ser tus argumentos cuando te expectoren de la República por estar pagado por Acuña para direccionar opiniones??? Otro periodistas recibieron más dinero??
marina quispe	Que se callen sus bocas	1	2022-05-31T16:54:42Z	Que se callen sus bocas
Isabel Hurtado	El presidente se volvió monotemático con &quot;los 200 años&quot;...	3	2022-05-31T16:53:45Z	El presidente se volvió monotemático con &quot;los 200 años&quot;...
AGUSTIN DIAZ	Tener un Presidente RATERO  jode la dignidad de las personas y la moral del país	0	2022-05-31T16:49:07Z	Tener un Presidente RATERO jode la dignidad de las personas y la moral del país
Carlos Gutierrez	Quiere que lo dejen robar!!!	3	2022-05-31T16:47:42Z	Quiere que lo dejen robar!!!
AGUSTIN DIAZ	Si el Congreso no censura al ministro presidiario se irá al dígito de aceptación	0	2022-05-31T16:46:26Z	Si el Congreso no censura al ministro presidiario se irá al dígito de aceptación
Pedro Wilson	Y este premier senior ya no es algo positivo para el Perú ,es un activador de odio y división que derivará en violencia!!	4	2022-05-31T16:44:35Z	Y este premier senior ya no es algo positivo para el Perú ,es un activador de odio y división que derivará en violencia!!
EDUARDO MORALES ESLACHIN	yo  también le di dinero a castillo 30 mil  alli tienes un indicio mas	0	2022-05-31T16:43:42Z	yo también le di dinero a castillo 30 mil alli tienes un indicio mas
Espartaco	Las fechorías de los otros no te hace santo a ti...la verdad es que todos los expresidentes han robado, pero tú Pedro Castillo has debido demostrar que eras diferente, la gente lo percibía así, pero has demostrado que eras más de lo mismo.	3	2022-05-31T16:42:27Z	Las fechorías de los otros no te hace santo a verdad es que todos los expresidentes han robado, pero tú Pedro Castillo has debido demostrar que eras diferente, la gente lo percibía así, pero has demostrado que eras más de lo mismo.
Luis alberto Salazar falcon	Esta es la prueba más palpable, que hasta para robar  tienes que estudiar	0	2022-05-31T16:41:38Z	Esta es la prueba más palpable, que hasta para robar tienes que estudiar
Cynthia Lázaro	Era cierto lo del plan comunista internacional... Solo nosotros, el pueblo, tenemos la fuerza para arreglar esta situación, pero debemos estar unidos y actuar ahora mismo. Cada minuto es demasiado tarde para nuestro país.	16	2022-05-31T16:39:56Z	Era cierto lo del plan comunista internacional... Solo nosotros, el pueblo, tenemos la fuerza para arreglar esta situación, pero debemos estar unidos y actuar ahora mismo. Cada minuto es demasiado tarde para nuestro país.
EDUARDO MORALES ESLACHIN	solo parece indicios  cunado salen las pruebas	0	2022-05-31T16:39:10Z	solo parece indicios cunado salen las pruebas
arturo astoquilca	Este tío es un vago sindicalista	0	2022-05-31T16:39:03Z	Este tío es un vago sindicalista
Jorge Sugahara Y.	Falto indicar cuanto cuesta cada &quot;consejo de ministros descentralizado &quot; por los locales, seguridad, decoración y demás. Se estará siguiendo los protocolos de compras del Estado para contratación de bienes y servicios al Estado? Se estará buscando las mejores ofertas con mejores prestaciones? O se hacen &quot;a dedo&quot; beneficiando a amigos y familiares como lo indicó Valer (creo que era)?	10	2022-05-31T16:32:27Z	Falto indicar cuanto cuesta cada &quot;consejo de ministros descentralizado &quot; por los locales, seguridad, decoración y demás. Se estará siguiendo los protocolos de compras del Estado para contratación de bienes y servicios al Estado? Se estará buscando las mejores ofertas con mejores prestaciones? O se hacen &quot;a dedo&quot; beneficiando a amigos y familiares como lo indicó Valer (creo que era)?
Edith	Déjenos trabajar diría déjenos robar en serio ya harta oír sus tonterías a ese señor.. Sí que hagan su proyecto de ley de eliminar inmunidad para que él sea el primero en ser acusado 😁	4	2022-05-31T16:31:42Z	Déjenos trabajar diría déjenos robar en serio ya harta oír sus tonterías a ese señor.. Sí que hagan su proyecto de ley de eliminar inmunidad para que él sea el primero en ser acusado 😁
PROMOCION 87 Hno. José Mazariegos	Castillo no ha robado ningún centavo y es verdad, ha robado MILLONES	19	2022-05-31T16:30:24Z	Castillo no ha robado ningún centavo y es verdad, ha robado MILLONES
Elena CUNYARACHE	Castillo tartamudea para hablar da verguenza es un gobierno pobre de mente cuantos millones cuesta trasladar a tanta gente  como minist. Policias y ayayeros q arengan solo van hacer turismo  ese dinero debe usarse para mejprar la pobreza el Perú esta paralizado	0	2022-05-31T16:29:14Z	Castillo tartamudea para hablar da verguenza es un gobierno pobre de mente cuantos millones cuesta trasladar a tanta gente como minist. Policias y ayayeros q arengan solo van hacer turismo ese dinero debe usarse para mejprar la pobreza el Perú esta paralizado
PROMOCION 87 Hno. José Mazariegos	Castillo es un delincuente	0	2022-05-31T16:28:20Z	Castillo es un delincuente
olger gustavo crespo cervantes	La ignorancia es bien atrevida	0	2022-05-31T16:28:06Z	La ignorancia es bien atrevida
Mary Sánchez Ocaña	...es que recién tenemos 10 meses...nos falta 50.	0	2022-05-31T16:23:59Z	que recién tenemos 10 falta 50.
Patty Echevarria	ESTE DELINCUENTE ESTA DEJANDO SIN FUTURO A NUESTROS HIJOS!!! Y TODOS LOS QUE LO APOYAN SEA EN EL GABINETE, PARTIDO PERU LIBRE, TROLES. FANS Y ENGAÑADOS POR SUS MENTIRAS SON TRAIDORES A LA PATRIA PORQUE SERIA APOYAR Y AYUDAR A UNA BANDA CRIMINAL A ROBAR Y DESTRUIR EL PERÚ !!!	0	2022-05-31T16:23:18Z	ESTE DELINCUENTE ESTA DEJANDO SIN FUTURO A NUESTROS HIJOS!!! Y TODOS LOS QUE LO APOYAN SEA EN EL GABINETE, PARTIDO PERU LIBRE, TROLES. FANS Y ENGAÑADOS POR SUS MENTIRAS SON TRAIDORES A LA PATRIA PORQUE SERIA APOYAR Y AYUDAR A UNA BANDA CRIMINAL A ROBAR Y DESTRUIR EL PERÚ !!!
La Verdad	ESTE 4 DE JUNIO TODOS A PALACIO A SACARLO A ESTE DELINCUENTE	1	2022-05-31T16:22:51Z	ESTE 4 DE JUNIO TODOS A PALACIO A SACARLO A ESTE DELINCUENTE
PROMOCION 87 Hno. José Mazariegos	No creo que haya robado menos ,este ha robado más que fujimori y alan garcia juntos, además es un delincuente de poca monta	5	2022-05-31T16:20:00Z	No creo que haya robado menos ,este ha robado más que fujimori y alan garcia juntos, además es un delincuente de poca monta
brunhildedüren die fast	"<a href=""https://www.youtube.com/watch?v=ecfTPNBsn6A&amp;t=14m22s"">14:22</a> no se hace, ES!!!!  Ya lo veo en la cárcel preventiva echando a Vladimir Cerron y todas las cuchipandas que estuvieron armando para beneficiarse de lo que produce el Perú."	0	2022-05-31T16:20:00Z	14:22 no se hace, ES!!!! Ya lo veo en la cárcel preventiva echando a Vladimir Cerron y todas las cuchipandas que estuvieron armando para beneficiarse de lo que produce el Perú.
Elizabeth Estrher Condori	Castillo y ,los otros políticos?  Aquí te respondo  : FUJIMORI y MONTESINOS están en la cárcel por varios delitos Castillo recuérdalo en cada momento de su vida.<br>.	1	2022-05-31T16:14:48Z	Castillo y ,los otros políticos? Aquí te respondo : FUJIMORI y MONTESINOS están en la cárcel por varios delitos Castillo recuérdalo en cada momento de su vida. .
brunhildedüren die fast	"<a href=""https://www.youtube.com/watch?v=ecfTPNBsn6A&amp;t=9m00s"">9:00</a> perdón, pero este &quot;sr&quot;&quot; (así con minúscula) es un reverendo …. N!"	1	2022-05-31T16:12:21Z	9:00 perdón, pero este &quot;sr&quot;&quot; (así con minúscula) es un reverendo …. N!
Jorge Condori guerra	El gobierno terrorista ilegítimo haciendo campaña para su asamblea constituyente con la plata de todos los peruanos qué espera la contraloría que no fiscaliza pedimos justicia verdadera 🇵🇪😭	0	2022-05-31T16:07:40Z	El gobierno terrorista ilegítimo haciendo campaña para su asamblea constituyente con la plata de todos los peruanos qué espera la contraloría que no fiscaliza pedimos justicia verdadera 🇵🇪😭
Xavi Ronald	Castillo se paso al equipo de los que dicen el pobre lo es porque quiere	5	2022-05-31T16:04:41Z	Castillo se paso al equipo de los que dicen el pobre lo es porque quiere
Niki	Increíble que con sus propias palabras el acepte que todo lo que se dice de el es cierto ! Creo que cualquier persona cuerda entiende que en su discurso eso fue lo que dijo !	17	2022-05-31T16:01:36Z	Increíble que con sus propias palabras el acepte que todo lo que se dice de el es cierto ! Creo que cualquier persona cuerda entiende que en su discurso eso fue lo que dijo !
Jose Diaz	CASTILLO NUNCA TRABAJO, SIEMPRE CON PERMISO SINDICAL . CAMBIEN ESA LEY C4RAJO	13	2022-05-31T15:59:06Z	CASTILLO NUNCA TRABAJO, SIEMPRE CON PERMISO SINDICAL . CAMBIEN ESA LEY C4RAJO
🦅 M a r i t z a 🦅	Estás bién hijo, te ves pálido, hasta mi celebridad Ben Stiller, responde ¿y tú no? 😂😂😂😂🤭 Una bromita 🤭🙏 Se te extraña los días imparciales.. . Nos haces reír... Lo necesitamos todos tus followings... ....	0	2022-05-31T20:33:13Z	Estás bién hijo, te ves pálido, hasta mi celebridad Ben Stiller, responde ¿y tú no? 😂😂😂😂🤭 Una bromita 🤭🙏 Se te extraña los días imparciales.. . Nos haces reír... Lo necesitamos todos tus followings... ....
ED SUO	L elección de la nueva mesa directiva del congreso depende de las empresas corruptas y de la derecha corrupta	0	2022-05-31T20:31:14Z	L elección de la nueva mesa directiva del congreso depende de las empresas corruptas y de la derecha corrupta
Luis Alberto	Curwen roskete, te paltea te digan asi	0	2022-05-31T20:30:06Z	Curwen roskete, te paltea te digan asi
Beatriz Ortiz	Lo único que nos queda un cambio total si logran sacar al presidente	0	2022-05-31T20:27:35Z	Lo único que nos queda un cambio total si logran sacar al presidente
Antonia Valverde	NO ALUCINES... EL PUEBLO PERUANO ELIGIÓ AL SR PRESIDENTE POR CINCO AÑOS... Y NINGUN DICHO SIN PRUEBAS NI VIDEOS DE DOS  DELINCUENTES QUE NO SE SABE CUANDO FUE HECHO. SEGURAMENTE EL DIA QUE WIEXLAX LO PASO, NI UN FISCAL SERVIL VA A IR CONTRA LO QUE EL PUEBLO PERUANO ELIGIÓ....	0	2022-05-31T20:26:25Z	NO ALUCINES... EL PUEBLO PERUANO ELIGIÓ AL SR PRESIDENTE POR CINCO AÑOS... Y NINGUN DICHO SIN PRUEBAS NI VIDEOS DE DOS DELINCUENTES QUE NO SE SABE CUANDO FUE HECHO. SEGURAMENTE EL DIA QUE WIEXLAX LO PASO, NI UN FISCAL SERVIL VA A IR CONTRA LO QUE EL PUEBLO PERUANO ELIGIÓ....
