autor	comentario	likes	date	PUBLICACION_CLEAN
Orlando Luque	La mafia chimpun Callao y su audiencia	0	2022-03-16T03:11:40Z	La mafia chimpun Callao y su audiencia
Manuel Rayme Aguilar	El Presidente cometió un error de rodearse de personas que les están haciendo quedar mal y no son todos pero Bruno Pacheco no califica y le ha hecho mucho daño al gobierno.	4	2022-03-16T03:11:40Z	El Presidente cometió un error de rodearse de personas que les están haciendo quedar mal y no son todos pero Bruno Pacheco no califica y le ha hecho mucho daño al gobierno.
Orlando Luque	El día que Patricia chirinos habló con Caracol	0	2022-03-16T03:10:01Z	El día que Patricia chirinos habló con Caracol
Manuel Rayme Aguilar	L a congresista vacadora parece que ya dio lo máximo y no ofrece en absoluto para las mayorías nuevas leyes u proyectos que nos puedan beneficiar.	0	2022-03-16T02:58:16Z	L a congresista vacadora parece que ya dio lo máximo y no ofrece en absoluto para las mayorías nuevas leyes u proyectos que nos puedan beneficiar.
maria julia cuba huamanciza	TREMENDA DELINCUENTE ¡¡¡	0	2022-03-16T02:57:25Z	TREMENDA DELINCUENTE ¡¡¡
Vanessa Flores	Son estrategias de los derechas mediocress	0	2022-03-16T02:55:55Z	Son estrategias de los derechas mediocress
AMED GUSTAVO QUESNAY APOLAYA	Par de aliadas de la korrupción, impresentables	0	2022-03-16T02:49:06Z	Par de aliadas de la korrupción, impresentables
Luz Huaca	La que se ve que para pechando es la Chirinos y hasta le menta la madre de que se queja jajajajajaj	0	2022-03-16T02:43:04Z	La que se ve que para pechando es la Chirinos y hasta le menta la madre de que se queja jajajajajaj
Luz Huaca	El Presidente puede ir al Congreso cuando quiera, hablar si esta arrecho, naie se impide, lo que dice la delincuente de Chirinos es mentira....	0	2022-03-16T02:41:22Z	El Presidente puede ir al Congreso cuando quiera, hablar si esta arrecho, naie se impide, lo que dice la delincuente de Chirinos es mentira....
Ppercy Qqtervo	La vacancia tendría éxito si lo dirigieran otras personas ,no personas como esta mujer ojala  cerraran él congreso	0	2022-03-16T02:26:20Z	La vacancia tendría éxito si lo dirigieran otras personas ,no personas como esta mujer ojala cerraran él congreso
Pedro Kanashiro	la Sra Chirinos,VACANCIA PARA SU CEREBRO	3	2022-03-16T02:21:08Z	la Sra Chirinos,VACANCIA PARA SU CEREBRO
Carlos Alberto	&quot;Los Codiciosos y Los Tramposos Fácilmente se Amanceban&quot;	0	2022-03-16T02:03:29Z	&quot;Los Codiciosos y Los Tramposos Fácilmente se Amanceban&quot;
titohectori1	Cierren el congreso no hacen nada por el pueblo joder se dedican a vacar al presidente y se olvidan las necesidades de nuestro pueblo, como esta congresista chirino que pena da. 🇵🇪🇵🇪👋	0	2022-03-16T01:59:55Z	Cierren el congreso no hacen nada por el pueblo joder se dedican a vacar al presidente y se olvidan las necesidades de nuestro pueblo, como esta congresista chirino que pena da. 🇵🇪🇵🇪👋
Hernan Lazarte	Entré Castillo y la mata viejitos no se quién es más ignorante<br>Creo que los dos<br>El peor congreso y el peor presidente<br>Que se vayan todos	0	2022-03-16T01:42:08Z	Entré Castillo y la mata viejitos no se quién es más ignorante Creo que los dos El peor congreso y el peor presidente Que se vayan todos
Francisco Rosales	Oye te conosco chirino tambien mi gente es una mafios a asolapada cuando fue funcionaria muy avivata su palana fue decia como soy mujer no me pasa nada porque los peruanos son unos debiles contra la MUJER.<br>Por eso se tejio muchos corrupcion no le importo lo que vendria despues el atropellos fue digno maquiavelico por una sospecha de COIMERA asolapada digna de una MAFIOSA si r mpre estuvo ligada con el narcotraficante CARACOL.....	0	2022-03-16T00:58:02Z	Oye te conosco chirino tambien mi gente es una mafios a asolapada cuando fue funcionaria muy avivata su palana fue decia como soy mujer no me pasa nada porque los peruanos son unos debiles contra la MUJER. Por eso se tejio muchos corrupcion no le importo lo que vendria despues el atropellos fue digno maquiavelico por una sospecha de COIMERA asolapada digna de una MAFIOSA si r mpre estuvo ligada con el narcotraficante CARACOL.....
Antonio Garcia	Esa sujeta es una tremenda ladrona, coimera, asesina y hablando bobadas con la otra mermelera.  Esa fulana fue a Miami, con dinero del pueblo peruano y todo lo q dijo , fue leído, así q no se crea q cuando habla , lo hace sin papel. Tremenda caradura q debe de estar en Santa Mónica con Abencia	0	2022-03-16T00:54:56Z	Esa sujeta es una tremenda ladrona, coimera, asesina y hablando bobadas con la otra mermelera. Esa fulana fue a Miami, con dinero del pueblo peruano y todo lo q dijo , fue leído, así q no se crea q cuando habla , lo hace sin papel. Tremenda caradura q debe de estar en Santa Mónica con Abencia
Roxana Aquije Huayanca	Que  caradura es esta mujer, tremenda mafiosa involucrada en dos crímenes, que hace en el congreso?	0	2022-03-16T00:53:51Z	Que caradura es esta mujer, tremenda mafiosa involucrada en dos crímenes, que hace en el congreso?
Luisa Obispo lozano	Congresista Chirinos da LÁSTIMA.	0	2022-03-16T00:45:23Z	Congresista Chirinos da LÁSTIMA.
